index_right,gu_name,grid_id,driving_pop,fast_count,slow_count,total_output_kw,total_active_count,pop_per_charger,poi_count,exclude,log_pop_per_charger,s_pop_per_charger,s_poi,s_capacity_lack,s_population,s_poi_spatial
17,성북구,NE_GRID_0013,1489,2,0,200,2,496.3333333,5,0,6.209260492,0.803818897,0.265448553,0.797158064,0.880355699,0.223338991
17,성북구,NE_GRID_0032,984,0,0,0,0,984,5,0,6.892641641,0.916293524,0.265448553,1,0.472109943,0.257573909
17,성북구,NE_GRID_0043,968,0,0,0,0,968,0,0,6.876264612,0.913598102,0,1,0.459175424,0
17,성북구,NE_GRID_0045,1380,0,0,0,0,1380,0,0,7.230563153,0.971910504,0,1,0.792239289,0
17,성북구,NE_GRID_0056,744,0,0,0,0,744,0,0,6.613384218,0.870331802,0,1,0.278092158,0.017117459
17,성북구,NE_GRID_0057,698,0,0,0,0,698,2,0,6.549650742,0.859842196,0.162759035,1,0.240905416,0.180139333
17,성북구,NE_GRID_0058,938,0,0,0,0,938,15,0,6.844815479,0.908422031,0.410758072,1,0.434923201,0.390632095
17,성북구,NE_GRID_0059,771,0,5,27,5,128.5,5,0,4.863680881,0.582356006,0.265448553,0.669179052,0.299919159,0.294456022
17,성북구,NE_GRID_0060,1380,0,0,0,0,1380,5,0,7.230563153,0.971910504,0.265448553,1,0.792239289,0.251256364
17,성북구,NE_GRID_0070,651,0,0,0,0,651,0,0,6.480044562,0.848386028,0,1,0.202910267,0
17,성북구,NE_GRID_0082,651,0,0,0,0,651,0,0,6.480044562,0.848386028,0,1,0.202910267,0.045877254
17,성북구,NE_GRID_0083,660,0,0,0,0,660,18,0,6.49375384,0.850642376,0.436217629,1,0.210185934,0.424879133
17,성북구,NE_GRID_0084,912,3,0,250,3,228,40,0,5.433722004,0.676176508,0.550164433,0.744041975,0.413904608,0.546127645
17,성북구,NE_GRID_0085,1315,0,0,0,0,1315,10,0,7.182352112,0.963975666,0.355247365,1,0.739692805,0.398947711
17,성북구,NE_GRID_0086,651,0,0,0,0,651,14,0,6.480044562,0.848386028,0.401196712,1,0.202910267,0.374914239
17,성북구,NE_GRID_0089,1380,0,0,0,0,1380,14,0,7.230563153,0.971910504,0.401196712,1,0.792239289,0.384989326
17,성북구,NE_GRID_0090,651,0,0,0,0,651,6,0,6.480044562,0.848386028,0.288285924,1,0.202910267,0.284747628
17,성북구,NE_GRID_0096,895,0,0,0,0,895,0,0,6.797940413,0.900707075,0,1,0.400161681,0.017117459
17,성북구,NE_GRID_0111,984,0,0,0,0,984,0,0,6.892641641,0.916293524,0,1,0.472109943,0.037361565
17,성북구,NE_GRID_0112,838,0,0,0,0,838,10,0,6.732210706,0.889888918,0.355247365,1,0.354082458,0.36369201
17,성북구,NE_GRID_0113,744,0,0,0,0,744,63,0,6.613384218,0.870331802,0.616137108,1,0.278092158,0.595721891
17,성북구,NE_GRID_0114,912,0,0,0,0,912,12,0,6.816735881,0.903800536,0.379996371,1,0.413904608,0.418749864
17,성북구,NE_GRID_0115,984,0,0,0,0,984,8,0,6.892641641,0.916293524,0.32551807,1,0.472109943,0.330961242
17,성북구,NE_GRID_0117,1315,0,0,0,0,1315,7,0,7.182352112,0.963975666,0.308068554,1,0.739692805,0.308715149
17,성북구,NE_GRID_0118,685,2,0,200,2,228.3333333,7,0,5.435176549,0.676415906,0.308068554,0.797158064,0.23039612,0.350200885
17,성북구,NE_GRID_0121,744,1,0,100,1,372,8,0,5.92157842,0.7564706,0.32551807,0.872020988,0.278092158,0.284679265
17,성북구,NE_GRID_0124,651,0,0,0,0,651,0,0,6.480044562,0.848386028,0,1,0.202910267,0
17,성북구,NE_GRID_0126,938,0,0,0,0,938,0,0,6.844815479,0.908422031,0,1,0.434923201,0
17,성북구,NE_GRID_0144,968,0,0,0,0,968,0,0,6.876264612,0.913598102,0,1,0.459175424,0.046676454
17,성북구,NE_GRID_0145,838,0,0,0,0,838,19,0,6.732210706,0.889888918,0.443816713,1,0.354082458,0.445924907
17,성북구,NE_GRID_0146,896,0,0,0,0,896,104,0,6.799055862,0.900890662,0.689482636,1,0.400970089,0.66101759
17,성북구,NE_GRID_0147,896,0,0,0,0,896,8,0,6.799055862,0.900890662,0.32551807,1,0.400970089,0.346392627
